NUM_TRIALS,MIN_BITS,MAX_BITS
5,8,16
q,a,b,naive,schoof
163,44,70,144,144
131,71,13,152,152
227,182,122,228,228
233,58,222,238,238
191,169,31,190,190
409,179,362,414,414
479,15,146,523,523
263,47,177,269,269
397,99,131,380,380
331,289,330,328,328
853,835,635,839,839
907,185,640,894,894
991,682,386,979,979
953,551,660,927,927
877,671,186,825,825
1657,878,1137,1696,1696
1423,1303,224,1448,1448
1987,1652,915,2060,2060
1733,289,905,1682,1682
1889,1467,819,1924,1924
2203,1889,802,2215,2215
2857,877,566,2822,2822
2749,436,417,2844,2844
4007,45,3529,3945,3945
3671,547,3232,3680,3680
4391,978,1857,4371,4371
4547,4123,695,4608,4608
4327,1701,1420,4431,4431
5591,2345,2519,5480,5480
7477,7012,81,7429,7429
11047,4007,2302,11152,11152
13649,13080,3752,13524,13524
10093,4659,5845,9918,9918
14149,5417,13961,14359,14359
9257,3793,2425,9433,9433
21673,13792,6851,21525,21525
25087,6087,4991,25266,25266
18793,16350,2554,19008,19008
18059,12455,2163,17929,17929
31567,9332,1216,31461,31461
40231,26943,39870,39859,39859
34157,9161,26565,33968,33968
35597,32633,33201,35364,35364
58229,23737,51121,58026,58026
59951,16928,3689,60215,60215
