NUM_TRIALS,MIN_BITS,MAX_BITS
10,16,64
q,a,b,time (s)
35879,32807,17364,0.061285
37123,25921,12772,0.082115
55661,46417,1511,0.089473
60779,15553,56267,0.040902
34231,6045,12043,0.047590
63389,26839,41466,0.040358
45817,44802,20519,0.020433
48157,14143,34116,0.045676
36241,11643,7427,0.072317
48193,5360,665,0.029927
103289,77443,43541,0.122372
99223,60685,38613,0.076739
108517,87463,3903,0.079235
69557,59762,84,0.029610
84347,12695,43333,0.109993
76403,66130,1631,0.056696
83339,59934,52184,0.022384
69593,19213,31789,0.038127
66239,19730,16110,0.021981
69473,47963,1085,0.031265
215179,74195,34531,0.172101
246569,233518,86807,0.047685
144061,2871,32047,0.079944
253867,32849,144670,0.081209
132697,17737,9186,0.098964
229681,128380,188329,0.100240
135613,18678,128240,0.058667
241873,172840,197218,0.054017
243157,25314,212218,0.068829
228677,209939,197667,0.068035
363313,316671,348098,0.074920
472391,395177,164651,0.061427
362353,320568,320485,0.063209
341839,315101,192359,0.060172
312349,176779,166766,0.082873
431267,284263,254629,0.087018
483839,441701,443626,0.063297
412007,56856,351513,0.069105
345733,133018,245746,0.052862
473939,297104,300364,0.079700
826663,363227,142893,0.096898
525677,148416,470977,0.072058
756527,656705,408052,0.092046
648047,49011,59486,0.090449
551461,169788,345545,0.041792
844891,269603,439442,0.073003
695059,488295,162742,0.057447
764249,626767,271960,0.090032
796531,157472,754796,0.076343
876719,439442,284683,0.091775
1496639,281398,159333,0.093105
1859617,1011071,1050830,0.071961
1736821,345725,1587470,0.070554
1488581,428600,1377480,0.080217
1530457,776300,366263,0.080067
1226063,726574,735841,0.046978
1127881,367381,741818,0.048816
1608401,644179,330757,0.039818
1830011,559684,1541261,0.079980
1203421,571166,1139110,0.075354
3517273,1343977,3004051,0.095880
3555697,2939557,3077668,0.041739
2597591,1524239,1629995,0.088029
3754187,1366174,1739918,0.068060
3712801,45671,1480261,0.060298
3947351,2263074,878902,0.044891
2393819,2021987,471268,0.079120
2120113,597,1478433,0.056146
3340327,2718580,418027,0.063656
3676753,623482,1505407,0.073288
7293607,1054363,4234474,0.093361
4746769,17042,2267494,0.071007
6970793,6197895,6518195,0.064818
8191441,7551827,5840856,0.087718
7301033,3459439,5245112,0.070887
5306527,221014,4742085,0.081865
6025909,3953566,3101429,0.088213
6465839,4656727,3436467,0.059957
8069417,1211264,1428183,0.064133
5854999,3224185,1724558,0.074622
11039663,9199023,10836662,0.108299
15195511,10269119,11357829,0.110015
10887473,9651818,1465946,0.059505
12642437,4393652,9516855,0.072113
11071631,5567558,1072529,0.079542
11581987,10204066,8889920,0.046971
14134433,409345,11216205,0.118112
15078491,3476200,4804030,0.076816
10175377,4478470,10167100,0.085215
12956809,12003319,2569462,0.067688
23368417,15410346,20429704,0.127922
31332517,23183791,5428319,0.157723
33423937,10792978,12863475,0.096893
18471581,13517373,5587468,0.122902
16799359,14709819,4883321,0.186608
17622547,226240,11863339,0.155144
16939093,13677745,1267016,0.105516
23963333,183322,11675578,0.147615
28258469,27746539,23802696,0.191644
29608081,13209679,13414254,0.184840
64072291,36536511,5984517,0.141373
53882419,42159937,19967370,0.119135
37490779,16263415,25640396,0.098877
39721079,15048636,2846757,0.122680
37933321,22913537,12246569,0.125148
51107911,33742200,47755393,0.174639
43451321,1784600,28153907,0.104385
66192881,4747625,47920942,0.192001
35671021,7044987,34798813,0.119377
35198453,29187002,4106880,0.232573
121919353,115291517,88436591,0.182326
110461811,13862622,108407960,0.170918
130331857,88106133,87518399,0.120600
109148497,64707597,44217947,0.093420
125203909,51045891,90069868,0.169070
83739049,59590593,39671167,0.231274
110665931,97701151,92424636,0.185620
91983527,1781345,40291399,0.179032
124135009,75642688,92514344,0.182203
120722047,2943969,51402192,0.124544
188365351,119442737,51634587,0.149475
194353253,141712364,179980492,0.139870
248079389,63032288,169240723,0.216073
194243867,22724476,38291551,0.182330
263285663,237272011,222608567,0.246524
220309021,162526205,175582726,0.176738
